run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	768.31	17249.34	41.64	87.56	1.34	235.48	NA	115.89
2	770.69	17315.66	41.51	87.56	1.35	300.25	NA	117.03
3	762.49	17162.48	41.95	87.56	1.37	247.83	NA	117.76
4	759.33	17037.74	42.13	87.56	1.35	292.60	NA	113.92
5	761.65	17143.14	42.00	89.16	1.46	246.89	NA	117.52
6	761.23	17140.71	42.03	89.16	1.41	241.95	NA	117.81
7	758.45	17087.33	42.18	89.16	1.45	303.40	NA	118.12
8	762.66	17169.23	41.95	89.16	1.44	243.79	NA	117.82
9	754.28	16997.18	42.41	89.16	1.32	237.66	NA	117.61
10	756.40	17042.64	42.29	89.16	1.35	232.57	NA	117.87
