run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	13.93	309.41	2255.88	4280.32	66.98	8559.18	NA	1.89
2	14.45	328.02	2177.50	4517.90	66.48	7585.19	NA	2.41
3	14.94	339.65	2104.02	4683.57	65.88	9808.47	NA	2.51
4	14.86	334.58	2112.68	4517.90	67.25	10305.14	NA	2.30
5	14.74	330.04	2136.74	4517.90	58.92	7624.97	NA	2.17
6	14.95	336.59	2102.62	4437.27	64.56	7058.99	NA	2.31
7	15.00	333.58	2099.91	4437.27	58.66	8176.38	NA	2.06
8	14.89	330.53	2110.82	4358.09	66.96	7347.93	NA	2.01
9	14.82	337.06	2123.17	4437.27	64.36	8873.50	NA	2.51
10	15.01	340.23	2097.13	4517.90	67.22	8221.94	NA	2.46
