run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.32	341.54	2053.84	4280.32	63.36	6980.80	NA	2.16
2	15.29	347.99	2057.51	4358.09	67.28	10202.63	NA	2.59
3	15.53	350.98	2027.79	4280.32	59.21	9612.40	NA	2.49
4	15.37	347.80	2049.74	4358.09	50.24	9474.95	NA	2.49
5	15.32	341.66	2054.78	3982.86	58.93	8645.85	NA	2.17
6	15.50	349.99	2027.26	4437.27	64.89	9063.21	NA	2.46
7	15.42	342.05	2040.27	4128.91	67.00	7566.04	NA	2.07
8	15.16	339.22	2077.31	4358.09	65.53	7914.76	NA	2.21
9	15.51	344.80	2030.54	3773.42	64.51	9231.74	NA	2.14
10	15.62	351.53	2015.25	4280.32	61.35	7425.37	NA	2.42
