run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	15.50	352.96	2033.11	4517.90	62.74	9148.19	NA	2.64
2	15.66	349.54	2009.27	4203.93	63.66	6812.89	NA	2.24
3	15.42	347.30	2043.84	4358.09	58.87	9281.87	NA	2.39
4	15.26	343.72	2061.28	4599.99	63.54	9316.05	NA	2.37
5	15.12	335.06	2081.15	4055.23	67.27	9197.86	NA	2.01
6	15.41	350.09	2041.13	4517.90	67.25	6975.20	NA	2.56
7	15.42	343.20	2041.36	3982.86	60.76	6928.78	NA	2.14
8	15.81	351.27	1993.23	4358.09	50.22	7434.08	NA	2.16
9	15.11	338.26	2083.03	4437.27	57.72	8026.60	NA	2.22
10	15.27	339.49	2061.76	4358.09	60.26	7322.25	NA	2.10
