run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	14.92	331.40	2108.44	4599.99	56.47	8081.17	NA	2.03
2	15.28	339.31	2056.05	4280.32	60.30	9599.78	NA	2.08
3	15.35	339.97	2050.87	4358.09	58.20	8067.58	NA	2.03
4	15.74	353.05	1999.05	4358.09	67.03	8976.05	NA	2.35
5	14.99	337.52	2098.56	4517.90	58.28	8230.12	NA	2.32
6	15.33	346.19	2053.14	4517.90	50.61	7422.93	NA	2.43
7	15.16	343.60	2077.73	4358.09	62.11	8001.33	NA	2.48
8	15.12	340.51	2073.66	4358.09	62.49	8094.05	NA	2.34
9	15.49	344.87	2030.80	4280.32	56.67	8873.10	NA	2.16
10	15.21	338.42	2069.84	4437.27	63.08	8646.48	NA	2.11
