run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	772.63	17367.58	41.40	87.56	2.06	231.76	NA	117.84
2	738.51	16582.03	43.32	92.42	1.92	351.89	NA	111.47
3	768.77	17271.12	41.61	87.56	2.19	271.20	NA	116.64
4	743.76	16706.30	43.01	92.42	1.75	372.36	NA	112.69
5	768.73	17303.20	41.61	87.56	2.10	275.35	NA	118.59
6	760.62	17140.95	42.05	89.16	2.00	308.48	NA	118.61
7	732.43	16436.24	43.66	94.10	2.24	456.67	NA	109.99
8	771.24	17331.78	41.48	87.56	1.97	285.86	NA	117.32
9	770.26	17314.64	41.50	87.56	2.00	224.51	NA	117.49
10	768.08	17244.31	41.64	87.56	2.08	261.62	NA	115.84
