run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	760.43	17096.19	42.07	89.16	1.91	263.49	NA	116.09
2	758.56	17051.50	42.17	89.16	1.91	250.07	NA	115.68
3	757.33	17037.31	42.24	89.16	1.85	271.87	NA	116.34
4	760.44	17068.22	42.07	89.16	1.89	246.84	NA	114.36
5	757.85	17012.51	42.21	87.56	1.86	299.22	NA	114.17
6	753.62	16966.20	42.45	89.16	1.82	241.26	NA	116.50
7	757.61	17039.62	42.22	89.16	1.84	230.76	NA	116.12
8	758.40	17034.77	42.18	89.16	1.84	239.16	NA	114.85
9	750.28	16875.66	42.64	89.16	1.89	262.48	NA	115.09
10	756.39	16966.82	42.29	89.16	1.93	258.25	NA	113.12
