run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	757.12	17028.36	42.25	89.16	1.91	286.72	NA	115.94
2	760.55	17134.87	42.06	89.16	1.80	241.39	NA	118.28
3	756.77	17029.13	42.27	89.16	1.89	270.68	NA	116.50
4	760.27	17059.11	42.08	89.16	1.94	221.48	NA	114.04
5	760.02	17071.87	42.09	89.16	1.84	254.66	NA	115.08
6	755.36	16985.98	42.35	89.16	1.96	234.97	NA	115.59
7	769.33	17269.17	41.58	87.56	1.83	240.68	NA	115.91
8	760.69	17120.68	42.05	89.16	1.96	252.51	NA	117.27
9	759.13	17041.85	42.14	89.16	1.95	265.21	NA	114.35
10	759.67	17090.69	42.11	89.16	1.95	257.13	NA	116.67
