run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	738.00	16580.89	43.35	90.78	1.96	254.58	NA	112.02
2	745.21	16726.47	42.93	90.78	1.85	229.85	NA	112.18
3	739.01	16610.01	43.28	90.78	1.98	312.53	NA	112.61
4	747.16	16776.58	42.81	90.78	1.98	218.53	NA	112.75
5	741.94	16671.55	43.12	90.78	1.81	288.67	NA	112.69
6	738.87	16592.78	43.30	90.78	1.92	353.54	NA	111.74
7	740.86	16631.32	43.18	90.78	2.01	218.90	NA	111.64
8	743.27	16715.99	43.04	90.78	1.88	287.67	NA	113.83
9	741.74	16677.84	43.13	90.78	1.95	273.81	NA	113.44
10	746.86	16796.80	42.83	90.78	2.00	273.07	NA	114.42
