run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	579.53	13038.49	55.20	116.80	2.95	411.77	NA	89.06
2	579.57	13028.50	55.19	116.80	2.78	364.96	NA	88.44
3	579.67	13000.95	55.19	116.80	2.95	312.71	NA	86.68
4	579.58	13024.20	55.19	116.80	2.87	396.56	NA	88.14
5	581.62	13026.67	55.00	116.80	2.84	297.70	NA	85.75
6	586.09	13139.22	54.58	114.72	2.72	287.94	NA	87.18
7	580.19	13017.88	55.14	116.80	2.87	324.95	NA	87.03
8	581.95	13048.64	54.97	116.80	2.83	320.41	NA	86.74
9	580.64	13029.87	55.09	116.80	2.86	304.90	NA	87.20
10	579.49	13032.42	55.20	116.80	2.99	311.95	NA	88.73
