run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	585.97	13168.21	54.59	114.72	2.56	301.97	NA	89.13
2	587.11	13194.77	54.49	114.72	2.52	315.40	NA	89.38
3	584.94	13132.44	54.69	114.72	2.60	329.17	NA	88.16
4	586.76	13153.65	54.52	114.72	2.63	300.49	NA	87.30
5	583.77	13139.01	54.80	116.80	2.54	321.26	NA	90.00
6	589.11	13245.07	54.30	114.72	2.37	305.01	NA	90.00
7	582.89	13106.99	54.88	116.80	2.52	386.75	NA	89.16
8	583.83	13136.81	54.79	116.80	2.51	274.50	NA	89.85
9	587.58	13199.43	54.44	114.72	2.51	269.04	NA	89.05
10	588.20	13212.08	54.39	114.72	2.59	303.34	NA	89.16
