run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	742.95	16719.56	43.06	90.78	1.80	251.46	NA	114.39
2	745.76	16783.65	42.89	90.78	1.88	232.34	NA	114.90
3	742.60	16676.94	43.08	90.78	1.95	287.57	NA	112.32
4	737.83	16621.46	43.36	92.42	1.84	237.05	NA	114.72
5	739.65	16629.15	43.25	90.78	1.88	276.86	NA	112.99
6	743.45	16687.35	43.03	89.16	1.95	242.83	NA	111.88
7	738.06	16634.95	43.34	90.78	1.98	260.34	NA	115.34
8	740.74	16660.60	43.19	90.78	1.89	248.02	NA	113.59
9	741.83	16679.66	43.12	92.42	1.85	259.43	NA	113.37
10	740.71	16632.67	43.19	90.78	1.98	237.09	NA	111.94
