run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	757.79	17055.46	42.21	89.16	1.97	275.26	NA	116.90
2	758.18	17044.76	42.19	89.16	1.89	247.48	NA	115.65
3	752.66	16969.00	42.50	89.16	1.91	248.89	NA	117.84
4	754.82	16947.34	42.38	89.16	1.92	250.34	NA	113.91
5	757.15	17007.45	42.25	89.16	1.97	259.48	NA	114.72
6	756.14	16982.25	42.31	89.16	1.91	227.18	NA	114.45
7	756.64	17023.43	42.28	89.16	2.01	222.05	NA	116.33
8	754.75	16954.59	42.38	89.16	2.01	234.59	NA	114.35
9	753.82	16938.00	42.44	89.16	1.94	250.00	NA	114.52
10	757.82	17018.83	42.21	89.16	1.99	257.70	NA	114.62
