run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	749.19	16811.54	42.70	90.78	2.03	316.52	NA	112.39
2	749.73	16860.47	42.67	90.78	1.90	223.29	NA	114.77
3	749.29	16855.81	42.69	90.78	2.08	253.16	NA	115.05
4	750.53	16853.90	42.62	90.78	2.10	227.52	NA	113.36
5	747.73	16834.07	42.78	90.78	2.22	243.94	NA	115.66
6	753.09	16910.98	42.48	90.78	2.23	229.66	NA	113.76
7	748.75	16829.84	42.72	90.78	1.95	253.72	NA	114.16
8	749.66	16864.54	42.67	90.78	2.24	282.12	NA	115.17
9	751.35	16895.49	42.58	90.78	2.10	243.99	NA	114.97
10	749.33	16816.89	42.69	90.78	1.99	234.84	NA	112.63
