run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	766.57	17273.07	41.72	89.16	2.03	230.08	NA	119.46
2	753.79	16885.44	42.44	90.78	2.06	328.61	NA	111.33
3	765.01	17210.79	41.80	89.16	2.01	287.91	NA	117.56
4	770.73	17351.73	41.51	87.56	1.95	259.16	NA	119.17
5	759.59	17075.47	42.10	90.78	1.84	322.08	NA	115.87
6	769.63	17275.64	41.57	87.56	2.01	231.02	NA	115.91
7	768.05	17254.19	41.65	89.16	1.72	327.79	NA	116.49
8	765.42	17185.35	41.78	87.56	1.74	336.97	NA	115.52
9	770.72	17357.50	41.51	87.56	2.11	237.60	NA	119.58
10	744.76	16696.69	42.95	92.42	2.06	347.36	NA	110.83
