run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	761.93	17139.07	41.98	89.16	2.00	253.67	NA	116.94
2	769.71	17295.41	41.56	87.56	1.97	257.42	NA	116.96
3	759.00	17060.18	42.15	89.16	1.86	208.19	NA	115.72
4	766.49	17176.80	41.73	87.56	1.83	272.05	NA	113.70
5	759.08	17051.91	42.14	89.16	1.89	259.17	NA	115.07
6	770.74	17302.23	41.50	87.56	1.99	277.68	NA	116.10
7	761.45	17130.39	42.01	89.16	1.75	243.95	NA	116.96
8	759.13	17049.63	42.14	89.16	1.91	255.22	NA	114.89
9	762.79	17143.03	41.94	89.16	1.84	255.96	NA	116.07
10	758.55	17038.58	42.17	89.16	1.93	265.87	NA	114.87
