run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	760.62	17148.13	42.06	89.16	1.91	226.03	NA	119.08
2	761.64	17100.34	42.00	89.16	1.84	247.31	NA	114.87
3	759.53	17081.15	42.12	89.16	1.92	297.81	NA	116.30
4	764.06	17164.44	41.87	87.56	1.96	236.24	NA	115.87
5	763.23	17156.06	41.91	89.16	1.99	240.06	NA	116.41
6	760.99	17126.40	42.04	89.16	1.93	250.43	NA	117.28
7	757.46	17048.89	42.23	89.16	1.89	232.35	NA	116.91
8	763.61	17120.30	41.89	89.16	1.84	231.72	NA	113.76
9	757.63	17020.30	42.22	89.16	1.88	260.99	NA	114.96
10	762.35	17133.87	41.96	89.16	1.91	262.32	NA	116.06
