run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	757.12	17024.66	42.25	89.16	1.88	230.13	NA	115.81
2	760.01	17066.25	42.08	89.16	1.85	281.73	NA	114.80
3	758.12	17071.09	42.19	89.16	1.87	242.69	NA	117.42
4	762.06	17123.58	41.98	89.16	1.88	218.54	NA	115.81
5	754.77	16958.14	42.38	89.16	1.99	258.87	NA	114.60
6	748.29	16820.74	42.75	89.16	1.89	250.41	NA	114.10
7	747.56	16818.21	42.79	90.78	1.87	260.58	NA	114.85
8	748.83	16852.16	42.72	89.16	1.98	243.78	NA	115.45
9	748.96	16853.13	42.71	89.16	1.87	276.07	NA	115.28
10	754.23	16892.98	42.41	89.16	1.89	215.30	NA	111.36
