run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	748.39	16801.28	42.74	89.16	1.93	261.68	NA	112.74
2	751.51	16892.38	42.57	89.16	1.88	276.13	NA	114.59
3	747.80	16876.77	42.77	90.78	1.97	233.00	NA	118.20
4	748.57	16875.67	42.73	90.78	2.00	310.62	NA	117.13
5	747.97	16868.73	42.76	89.16	1.95	290.12	NA	117.49
6	753.09	16968.13	42.47	89.16	1.91	264.98	NA	117.25
7	757.39	17069.12	42.23	89.16	1.93	266.86	NA	118.19
8	751.60	16867.73	42.56	89.16	1.83	262.80	NA	112.91
9	749.55	16849.80	42.67	90.78	1.92	231.69	NA	114.35
10	753.55	16915.84	42.45	89.16	1.98	235.77	NA	113.51
