run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	754.74	16999.52	42.38	89.16	1.93	331.19	NA	117.15
2	753.79	16923.93	42.44	89.16	1.85	263.61	NA	113.70
3	752.41	16900.13	42.51	89.16	1.92	238.52	NA	113.99
4	752.07	16920.86	42.53	89.16	1.93	248.34	NA	115.65
5	753.34	16945.50	42.46	89.16	1.85	249.66	NA	115.64
6	754.59	16971.95	42.39	89.16	1.89	253.72	NA	115.74
7	753.14	16965.30	42.47	89.16	1.87	269.87	NA	117.01
8	751.28	16947.49	42.58	90.78	1.91	281.53	NA	118.23
9	756.39	17030.80	42.29	87.56	1.87	245.00	NA	117.04
10	753.30	16937.19	42.46	89.16	1.97	234.38	NA	115.18
