run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	758.85	17049.27	42.15	89.16	1.90	306.64	NA	115.21
2	757.14	17013.21	42.25	89.16	1.86	247.71	NA	115.06
3	755.06	16946.96	42.37	89.16	1.86	340.17	NA	113.57
4	760.02	17067.77	42.09	89.16	1.88	243.84	NA	114.90
5	760.81	17110.07	42.05	89.16	1.93	239.54	NA	116.54
6	760.70	17078.88	42.05	89.16	1.82	263.04	NA	114.70
7	761.02	17082.57	42.04	89.16	1.73	205.20	NA	114.54
8	758.37	17053.60	42.18	89.16	1.87	246.06	NA	116.00
9	758.32	17044.70	42.18	89.16	1.94	273.22	NA	115.57
10	759.03	17077.76	42.15	89.16	1.83	248.34	NA	116.66
