run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	757.36	17020.76	42.24	89.16	1.98	244.25	NA	115.25
2	757.37	16994.68	42.24	89.16	1.99	229.72	NA	113.79
3	754.25	16941.62	42.41	89.16	1.82	255.78	NA	114.25
4	749.84	16826.35	42.66	89.16	2.00	287.76	NA	112.57
5	746.34	16785.80	42.86	90.78	1.89	280.37	NA	114.40
6	760.26	17105.65	42.08	89.16	1.92	278.34	NA	116.88
7	746.13	16790.76	42.87	89.16	1.86	293.71	NA	115.03
8	747.95	16867.03	42.77	90.78	2.00	327.51	NA	117.33
9	749.62	16844.72	42.67	90.78	2.03	261.13	NA	113.99
10	751.88	16895.23	42.54	90.78	1.89	215.57	NA	114.26
