run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	749.98	16886.76	42.65	89.16	1.80	243.72	NA	116.12
2	754.32	16981.80	42.41	89.16	1.94	250.37	NA	116.66
3	751.64	16891.77	42.56	89.16	1.99	266.85	NA	114.39
4	750.49	16872.83	42.63	89.16	1.95	284.93	NA	114.69
5	758.48	17048.15	42.18	89.16	1.91	221.23	NA	115.59
6	755.53	16993.39	42.34	89.16	1.91	260.94	NA	115.85
7	752.15	16925.01	42.53	89.16	1.94	270.17	NA	115.76
8	752.51	16935.99	42.51	89.16	1.96	225.26	NA	115.99
9	753.62	16940.73	42.45	89.16	1.93	230.36	NA	115.00
10	758.40	17038.25	42.18	89.16	1.84	232.43	NA	115.02
