Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,22:21:28.986,2.20,2.02,99.94,0.06,0.00,1334297032,100.00,-1,-1,1334297032,100.00,-1,-1,1334297056,100.00,-1,-1,1334297056,100.00,-1,-1,1334297066,100.00,-1,-1,1334297066,100.00,-1,-1,1334297130,100.00,-1,-1,1334297130,100.00,-1,-1,1334297186,100.00,-1,-1,1334297186,100.00,-1,-1,1334297116,100.00,-1,-1,1334297116,100.00,-1,-1,1334297170,100.00,-1,-1,1334297170,100.00,-1,-1,1334297222,100.00,-1,-1,1334297222,100.00,-1,-1,1101027471,0.00,0.00,0.00,1503167,91.75,91.75,68,699730,10.71,10.71,
2026-04-01,22:21:29.983,2.20,2.09,99.96,0.04,0.00,1333510984,100.00,-1,-1,1333510984,100.00,-1,-1,1333510986,100.00,-1,-1,1333510986,100.00,-1,-1,1333510986,100.00,-1,-1,1333510986,100.00,-1,-1,1333510986,100.00,-1,-1,1333510986,100.00,-1,-1,1333511018,100.00,-1,-1,1333511018,100.00,-1,-1,1333511030,100.00,-1,-1,1333511030,100.00,-1,-1,1333511026,100.00,-1,-1,1333511026,100.00,-1,-1,1333511022,100.00,-1,-1,1333511022,100.00,-1,-1,1100209864,0.00,0.00,0.00,1494948,91.24,91.24,67,692769,10.60,10.60,
2026-04-01,22:21:30.984,2.20,2.12,100.00,0.00,0.00,1333179094,100.00,-1,-1,1333179094,100.00,-1,-1,1333179104,100.00,-1,-1,1333179104,100.00,-1,-1,1333179084,100.00,-1,-1,1333179084,100.00,-1,-1,1333179082,100.00,-1,-1,1333179082,100.00,-1,-1,1333179110,100.00,-1,-1,1333179110,100.00,-1,-1,1333179236,100.00,-1,-1,1333179236,100.00,-1,-1,1333179260,100.00,-1,-1,1333179260,100.00,-1,-1,1333179290,100.00,-1,-1,1333179290,100.00,-1,-1,1100042124,0.00,0.00,0.00,1496979,91.37,91.37,68,695066,10.63,10.63,
2026-04-01,22:21:31.983,2.20,2.08,100.00,0.00,0.00,1332888818,100.00,-1,-1,1332888818,100.00,-1,-1,1332888860,100.00,-1,-1,1332888860,100.00,-1,-1,1332888926,100.00,-1,-1,1332888926,100.00,-1,-1,1332888962,100.00,-1,-1,1332888962,100.00,-1,-1,1332888986,100.00,-1,-1,1332888986,100.00,-1,-1,1332889006,100.00,-1,-1,1332889006,100.00,-1,-1,1332888880,100.00,-1,-1,1332888880,100.00,-1,-1,1332888872,100.00,-1,-1,1332888872,100.00,-1,-1,1099757082,0.00,0.00,0.00,1496589,91.34,91.34,68,695777,10.65,10.65,
2026-04-01,22:21:32.983,2.20,2.10,100.00,0.00,0.00,1333330416,100.00,-1,-1,1333330416,100.00,-1,-1,1333330420,100.00,-1,-1,1333330420,100.00,-1,-1,1333330422,100.00,-1,-1,1333330422,100.00,-1,-1,1333330426,100.00,-1,-1,1333330426,100.00,-1,-1,1333330420,100.00,-1,-1,1333330420,100.00,-1,-1,1333330454,100.00,-1,-1,1333330454,100.00,-1,-1,1333330380,100.00,-1,-1,1333330380,100.00,-1,-1,1333330402,100.00,-1,-1,1333330402,100.00,-1,-1,1100121728,0.00,0.00,0.00,1497909,91.43,91.43,67,696303,10.65,10.65,
2026-04-01,22:21:33.983,2.20,2.11,100.00,0.00,0.00,1333402384,100.00,-1,-1,1333402384,100.00,-1,-1,1333402394,100.00,-1,-1,1333402394,100.00,-1,-1,1333402400,100.00,-1,-1,1333402400,100.00,-1,-1,1333402398,100.00,-1,-1,1333402398,100.00,-1,-1,1333402402,100.00,-1,-1,1333402402,100.00,-1,-1,1333402400,100.00,-1,-1,1333402400,100.00,-1,-1,1333402400,100.00,-1,-1,1333402400,100.00,-1,-1,1333402382,100.00,-1,-1,1333402382,100.00,-1,-1,1100193372,0.00,0.00,0.00,1497772,91.42,91.42,67,696995,10.66,10.66,
2026-04-01,22:21:34.984,2.20,2.11,100.00,0.00,0.00,1333243886,100.00,-1,-1,1333243886,100.00,-1,-1,1333243896,100.00,-1,-1,1333243896,100.00,-1,-1,1333243892,100.00,-1,-1,1333243892,100.00,-1,-1,1333243892,100.00,-1,-1,1333243892,100.00,-1,-1,1333243888,100.00,-1,-1,1333243888,100.00,-1,-1,1333243888,100.00,-1,-1,1333243888,100.00,-1,-1,1333243890,100.00,-1,-1,1333243890,100.00,-1,-1,1333243886,100.00,-1,-1,1333243886,100.00,-1,-1,1100050982,0.00,0.00,0.00,1504130,91.80,91.80,67,697319,10.67,10.67,
2026-04-01,22:21:35.985,2.20,2.11,100.00,0.00,0.00,1333255714,100.00,-1,-1,1333255714,100.00,-1,-1,1333255718,100.00,-1,-1,1333255718,100.00,-1,-1,1333255720,100.00,-1,-1,1333255720,100.00,-1,-1,1333255724,100.00,-1,-1,1333255724,100.00,-1,-1,1333255726,100.00,-1,-1,1333255726,100.00,-1,-1,1333255724,100.00,-1,-1,1333255724,100.00,-1,-1,1333255722,100.00,-1,-1,1333255722,100.00,-1,-1,1333255720,100.00,-1,-1,1333255720,100.00,-1,-1,1100062425,0.00,0.00,0.00,1502501,91.71,91.71,66,695787,10.65,10.65,
2026-04-01,22:21:36.985,2.20,2.12,100.00,0.00,0.00,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1333335242,100.00,-1,-1,1333335242,100.00,-1,-1,1333335240,100.00,-1,-1,1333335240,100.00,-1,-1,1100124949,0.00,0.00,0.00,1504230,91.81,91.81,66,696075,10.65,10.65,
