Core Power License 0: Core cycles where the core was running with power-delivery for baseline license level 0.  This includes non-AVX codes, SSE, AVX 128-bit, and low-current AVX 256-bit codes.
Core Power License 1: Core cycles where the core was running with power-delivery for license level 1.  This includes high current AVX 256-bit instructions as well as low current AVX 512-bit instructions.
Core Power License 2: Core cycles where the core was running with power-delivery for license level 2 (introduced in Skylake Server michroarchtecture). This includes high current AVX 512-bit instructions.
,,S0,S0,S0,S0,S0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH5,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH6,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0CH7,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,Uncore Freq(Ghz),Core Freq(Ghz),Core Power License 0(%),Core Power License 1(%),Core Power License 2(%),DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,22:27:29.667,2.20,2.08,100.00,0.00,0.00,1334594134,100.00,-1,-1,1334594134,100.00,-1,-1,1334594284,100.00,-1,-1,1334594284,100.00,-1,-1,1334594344,100.00,-1,-1,1334594344,100.00,-1,-1,1334594406,100.00,-1,-1,1334594406,100.00,-1,-1,1334594478,100.00,-1,-1,1334594478,100.00,-1,-1,1334594536,100.00,-1,-1,1334594536,100.00,-1,-1,1334594670,100.00,-1,-1,1334594670,100.00,-1,-1,1334594664,100.00,-1,-1,1334594664,100.00,-1,-1,1101264993,0.00,0.00,0.00,1527235,93.22,93.22,60,705477,10.79,10.79,
2026-04-01,22:27:30.667,2.20,2.08,100.00,0.00,0.00,1333715710,100.00,-1,-1,1333715710,100.00,-1,-1,1333715666,100.00,-1,-1,1333715666,100.00,-1,-1,1333715624,100.00,-1,-1,1333715624,100.00,-1,-1,1333715584,100.00,-1,-1,1333715584,100.00,-1,-1,1333715528,100.00,-1,-1,1333715528,100.00,-1,-1,1333715484,100.00,-1,-1,1333715484,100.00,-1,-1,1333715464,100.00,-1,-1,1333715464,100.00,-1,-1,1333715340,100.00,-1,-1,1333715340,100.00,-1,-1,1100429608,0.00,0.00,0.00,1520137,92.78,92.78,60,703738,10.77,10.77,
2026-04-01,22:27:31.668,2.20,2.09,100.00,0.00,0.00,1333435304,100.00,-1,-1,1333435304,100.00,-1,-1,1333435326,100.00,-1,-1,1333435326,100.00,-1,-1,1333435338,100.00,-1,-1,1333435338,100.00,-1,-1,1333435344,100.00,-1,-1,1333435344,100.00,-1,-1,1333435370,100.00,-1,-1,1333435370,100.00,-1,-1,1333435370,100.00,-1,-1,1333435370,100.00,-1,-1,1333435370,100.00,-1,-1,1333435370,100.00,-1,-1,1333435370,100.00,-1,-1,1333435370,100.00,-1,-1,1100223877,0.00,0.00,0.00,1522971,92.95,92.86,60,700682,10.72,10.71,
2026-04-01,22:27:32.670,2.20,2.07,100.00,0.00,0.00,1333763286,100.00,-1,-1,1333763286,100.00,-1,-1,1333763256,100.00,-1,-1,1333763256,100.00,-1,-1,1333763256,100.00,-1,-1,1333763256,100.00,-1,-1,1333763260,100.00,-1,-1,1333763260,100.00,-1,-1,1333763270,100.00,-1,-1,1333763270,100.00,-1,-1,1333763274,100.00,-1,-1,1333763274,100.00,-1,-1,1333763228,100.00,-1,-1,1333763228,100.00,-1,-1,1333763234,100.00,-1,-1,1333763234,100.00,-1,-1,1100380204,0.00,0.00,0.00,1521030,92.84,92.84,60,701865,10.74,10.74,
2026-04-01,22:27:33.668,2.20,2.10,100.00,0.00,0.00,1333251730,100.00,-1,-1,1333251730,100.00,-1,-1,1333251814,100.00,-1,-1,1333251814,100.00,-1,-1,1333251860,100.00,-1,-1,1333251860,100.00,-1,-1,1333251906,100.00,-1,-1,1333251906,100.00,-1,-1,1333251944,100.00,-1,-1,1333251944,100.00,-1,-1,1333251962,100.00,-1,-1,1333251962,100.00,-1,-1,1333252104,100.00,-1,-1,1333252104,100.00,-1,-1,1333252140,100.00,-1,-1,1333252140,100.00,-1,-1,1100116292,0.00,0.00,0.00,1524873,93.07,93.07,61,701257,10.73,10.73,
2026-04-01,22:27:34.668,2.20,2.09,100.00,0.00,0.00,1333371578,100.00,-1,-1,1333371578,100.00,-1,-1,1333371552,100.00,-1,-1,1333371552,100.00,-1,-1,1333371526,100.00,-1,-1,1333371526,100.00,-1,-1,1333371528,100.00,-1,-1,1333371528,100.00,-1,-1,1333371532,100.00,-1,-1,1333371532,100.00,-1,-1,1333371534,100.00,-1,-1,1333371534,100.00,-1,-1,1333371534,100.00,-1,-1,1333371534,100.00,-1,-1,1333371538,100.00,-1,-1,1333371538,100.00,-1,-1,1100154550,0.00,0.00,0.00,1524165,93.03,93.03,61,701453,10.73,10.73,
2026-04-01,22:27:35.668,2.20,2.10,100.00,0.00,0.00,1333329944,100.00,-1,-1,1333329944,100.00,-1,-1,1333329946,100.00,-1,-1,1333329946,100.00,-1,-1,1333329950,100.00,-1,-1,1333329950,100.00,-1,-1,1333329950,100.00,-1,-1,1333329950,100.00,-1,-1,1333329912,100.00,-1,-1,1333329912,100.00,-1,-1,1333329928,100.00,-1,-1,1333329928,100.00,-1,-1,1333330020,100.00,-1,-1,1333330020,100.00,-1,-1,1333330020,100.00,-1,-1,1333330020,100.00,-1,-1,1100121102,0.00,0.00,0.00,1517441,92.62,92.62,60,701333,10.73,10.73,
2026-04-01,22:27:36.670,2.20,2.10,100.00,0.00,0.00,1333337948,100.00,-1,-1,1333337948,100.00,-1,-1,1333337950,100.00,-1,-1,1333337950,100.00,-1,-1,1333337948,100.00,-1,-1,1333337948,100.00,-1,-1,1333337950,100.00,-1,-1,1333337950,100.00,-1,-1,1333337950,100.00,-1,-1,1333337950,100.00,-1,-1,1333337950,100.00,-1,-1,1333337950,100.00,-1,-1,1333337950,100.00,-1,-1,1333337950,100.00,-1,-1,1333337954,100.00,-1,-1,1333337954,100.00,-1,-1,1100150059,0.00,0.00,0.00,1522283,92.91,92.91,61,703126,10.76,10.76,
2026-04-01,22:27:37.668,2.20,2.11,100.00,0.00,0.00,1332727844,100.00,-1,-1,1332727844,100.00,-1,-1,1332727850,100.00,-1,-1,1332727850,100.00,-1,-1,1332727812,100.00,-1,-1,1332727812,100.00,-1,-1,1332727790,100.00,-1,-1,1332727790,100.00,-1,-1,1332727798,100.00,-1,-1,1332727798,100.00,-1,-1,1332727780,100.00,-1,-1,1332727780,100.00,-1,-1,1332727786,100.00,-1,-1,1332727786,100.00,-1,-1,1332727788,100.00,-1,-1,1332727788,100.00,-1,-1,1099601204,0.00,0.00,0.00,1519244,92.73,92.73,60,701423,10.73,10.73,
