run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	582.92	13117.88	54.87	116.80	2.60	328.71	NA	89.79
2	579.82	13051.38	55.17	116.80	2.57	306.43	NA	89.46
3	579.84	13017.26	55.17	118.92	2.52	316.39	NA	87.35
4	586.42	13205.39	54.55	116.80	2.68	283.84	NA	90.85
5	581.36	13050.99	55.02	116.80	2.55	355.52	NA	87.63
6	579.89	13013.58	55.16	116.80	2.48	298.97	NA	87.17
7	583.27	13092.79	54.85	116.80	2.47	317.23	NA	87.87
8	579.08	13042.80	55.24	116.80	2.44	366.44	NA	89.87
9	580.67	13077.09	55.09	116.80	2.49	356.61	NA	90.03
10	587.53	13161.23	54.45	114.72	2.55	369.30	NA	86.79
