run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	583.33	13118.18	54.84	116.80	2.59	408.05	NA	89.29
2	583.33	13103.60	54.84	116.80	2.60	313.51	NA	88.47
3	581.47	13081.77	55.01	116.80	2.67	283.27	NA	89.32
4	582.80	13103.46	54.89	116.80	2.43	374.33	NA	89.05
5	585.12	13150.99	54.67	114.72	2.54	298.96	NA	89.18
6	583.46	13132.70	54.83	116.80	2.57	327.96	NA	90.00
7	579.78	13025.68	55.17	116.80	2.47	333.37	NA	88.05
8	582.40	13102.00	54.92	116.80	2.53	293.23	NA	89.41
9	583.24	13079.72	54.85	114.72	2.54	271.83	NA	87.09
10	586.91	13157.75	54.50	114.72	2.39	315.71	NA	87.35
