run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	907.05	20339.35	35.27	73.13	2.64	207.06	NA	135.23
2	900.23	20171.39	35.53	74.46	2.52	217.76	NA	133.32
3	894.42	20045.68	35.76	74.46	2.58	222.57	NA	132.75
4	899.85	20158.34	35.55	74.46	2.50	194.91	NA	132.98
5	899.50	20133.98	35.56	74.46	2.62	205.14	NA	131.93
6	901.38	20215.12	35.49	74.46	2.54	176.94	NA	134.62
7	899.01	20159.59	35.58	73.13	2.49	212.21	NA	134.05
8	897.05	20099.35	35.66	74.46	2.51	224.69	NA	132.73
9	897.29	20092.93	35.65	74.46	2.51	193.96	NA	132.07
10	894.64	20038.41	35.76	74.46	2.59	236.64	NA	132.00
