run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	872.28	19531.83	36.67	77.19	2.56	207.12	NA	128.41
2	870.38	19523.97	36.75	77.19	2.35	208.45	NA	130.24
3	864.13	19349.30	37.02	77.19	2.52	190.03	NA	127.08
4	870.81	19491.35	36.73	77.19	2.51	195.81	NA	127.72
5	864.73	19421.34	36.99	77.19	2.57	202.17	NA	130.84
6	867.05	19475.20	36.89	77.19	2.43	236.72	NA	131.28
7	865.46	19430.18	36.96	77.19	2.51	203.97	NA	130.46
8	865.08	19392.56	36.98	77.19	2.51	210.82	NA	128.62
9	867.90	19456.95	36.86	77.19	2.61	224.98	NA	129.14
10	865.24	19364.68	36.97	77.19	2.52	273.77	NA	126.81
