run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	874.47	19622.41	36.58	75.82	2.46	198.23	NA	131.21
2	880.77	19709.15	36.32	75.82	2.56	207.07	NA	128.77
3	878.01	19706.84	36.43	75.82	2.60	202.22	NA	132.06
4	876.29	19660.01	36.50	75.82	2.64	230.89	NA	131.31
5	876.91	19656.10	36.48	75.82	2.58	201.61	NA	130.29
6	877.21	19615.59	36.47	75.82	2.47	238.45	NA	127.42
7	878.24	19686.83	36.42	75.82	2.58	258.31	NA	130.58
8	876.73	19673.67	36.48	75.82	2.50	194.55	NA	131.53
9	878.52	19641.46	36.41	75.82	2.54	276.91	NA	127.41
10	874.99	19613.01	36.56	75.82	2.42	223.00	NA	130.01
