run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	589.26	13238.92	54.28	114.72	2.65	318.60	NA	89.43
2	588.49	13203.48	54.35	114.72	2.37	342.49	NA	88.24
3	585.55	13187.43	54.62	116.80	2.63	326.37	NA	90.88
4	586.01	13187.67	54.59	116.80	2.49	266.62	NA	90.23
5	588.46	13230.00	54.36	114.72	2.39	317.23	NA	89.86
6	588.06	13199.64	54.40	114.72	2.53	302.03	NA	88.50
7	588.42	13212.77	54.36	114.72	2.40	319.21	NA	88.87
8	588.46	13196.91	54.36	114.72	2.68	316.22	NA	87.85
9	590.59	13224.13	54.16	114.72	2.35	456.48	NA	86.90
10	582.86	13122.18	54.88	116.80	2.47	359.58	NA	90.07
