run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	584.95	13114.98	54.68	114.72	2.53	344.79	NA	87.09
2	589.09	13249.07	54.30	114.72	2.38	326.25	NA	90.29
3	587.13	13223.86	54.48	114.72	2.57	330.99	NA	91.09
4	584.03	13129.73	54.77	116.80	2.57	319.47	NA	89.21
5	582.99	13057.40	54.87	116.80	2.43	293.01	NA	85.91
6	583.96	13108.71	54.78	114.72	2.45	305.86	NA	88.01
7	583.66	13078.70	54.80	114.72	2.59	342.25	NA	86.56
8	583.57	13135.75	54.81	114.72	2.57	373.20	NA	90.11
9	581.54	13101.34	55.00	116.80	2.42	330.24	NA	90.49
10	583.65	13131.64	54.81	116.80	2.50	295.42	NA	89.74
