run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	588.24	13285.21	54.38	116.80	2.36	329.16	NA	93.57
2	594.20	13325.46	53.83	114.72	2.63	290.49	NA	88.66
3	586.67	13182.94	54.53	116.80	2.48	308.05	NA	89.14
4	587.98	13236.32	54.40	116.80	2.55	329.45	NA	90.89
5	588.12	13210.03	54.39	114.72	2.53	383.48	NA	88.98
6	587.77	13228.99	54.42	116.80	2.61	294.53	NA	90.66
7	592.90	13309.80	53.95	114.72	2.50	317.55	NA	89.33
8	585.81	13174.00	54.61	116.80	2.54	300.63	NA	89.75
9	583.97	13147.11	54.78	116.80	2.57	307.90	NA	90.30
10	585.42	13189.05	54.64	116.80	2.44	317.92	NA	91.10
