run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	582.12	13093.48	54.95	116.80	2.52	317.89	NA	89.28
2	582.14	13099.71	54.95	116.80	2.44	336.69	NA	89.59
3	583.95	13127.59	54.78	116.80	2.63	301.61	NA	89.08
4	586.00	13141.94	54.59	114.72	2.53	316.79	NA	87.49
5	581.78	13080.11	54.98	118.92	2.54	274.95	NA	88.87
6	583.47	13088.02	54.82	116.80	2.50	331.08	NA	87.37
7	583.74	13136.25	54.80	116.80	2.49	316.10	NA	89.95
8	583.28	13100.42	54.84	116.80	2.52	375.52	NA	88.28
9	584.09	13106.57	54.77	116.80	2.56	355.72	NA	87.72
10	585.43	13124.89	54.64	114.72	2.55	266.41	NA	87.16
