run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	586.78	13164.22	54.52	116.80	2.60	279.01	NA	87.87
2	589.34	13173.77	54.28	114.72	2.57	308.13	NA	85.37
3	581.58	13104.56	55.00	116.80	2.51	285.16	NA	90.64
4	585.04	13139.09	54.68	114.72	2.46	424.07	NA	88.50
5	585.07	13100.26	54.68	116.80	2.38	375.42	NA	86.10
6	583.20	13110.66	54.85	116.80	2.39	297.29	NA	88.97
7	586.10	13162.37	54.58	114.72	2.61	364.38	NA	88.61
8	587.34	13223.18	54.46	114.72	2.46	334.95	NA	90.91
9	582.77	13088.45	54.89	116.80	2.61	361.59	NA	88.16
10	587.80	13196.88	54.42	114.72	2.46	266.74	NA	88.59
