run	transactions_per_sec	queries_per_sec	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	889.07	19930.57	35.98	74.46	2.62	289.95	NA	132.25
2	890.89	19972.32	35.91	74.46	2.59	218.89	NA	132.54
3	893.75	20030.17	35.79	74.46	2.58	248.60	NA	132.61
4	885.94	19886.17	36.11	75.82	2.46	204.70	NA	133.27
5	890.57	19987.19	35.92	74.46	2.56	212.54	NA	133.81
6	897.86	20110.96	35.63	74.46	2.41	202.50	NA	132.57
7	889.37	19915.63	35.97	74.46	2.47	204.44	NA	130.92
8	889.28	19944.45	35.97	74.46	2.60	197.75	NA	132.89
9	891.58	19983.86	35.88	74.46	2.54	203.02	NA	132.40
10	891.18	19991.95	35.89	74.46	2.47	191.80	NA	133.35
