,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:22:24.093,1066105267,0.56,369893,66631579,1066105267,100.00,-1,-1,1066109746,0.32,209960,66631859,1066109746,100.00,-1,-1,1066114136,0.20,178248,88842844,1066114136,100.00,-1,-1,1066118530,0.42,247173,59228807,1066118530,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,999532758,0.00,0.00,0.00,584322,35.66,35.74,55,343824,5.26,5.27,
2026-04-01,21:22:25.092,1064302978,0.45,265747,59127943,1064302978,100.00,-1,-1,1064307170,0.51,303363,59128176,1064307170,100.00,-1,-1,1064311413,0.50,293700,59128411,1064311413,100.00,-1,-1,1064315607,0.35,245472,70954373,1064315607,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997805202,0.00,0.00,0.00,584537,35.68,35.75,55,344977,5.28,5.29,
2026-04-01,21:22:26.093,1064903299,0.37,197031,53245164,1064903299,100.00,-1,-1,1064903188,0.70,338337,48404690,1064903188,100.00,-1,-1,1064903222,0.47,313685,66556451,1064903222,100.00,-1,-1,1064902860,0.55,391676,70993524,1064902860,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998382528,0.00,0.00,0.00,580512,35.43,35.50,55,345404,5.28,5.30,
2026-04-01,21:22:27.093,1064010912,0.42,319355,76000779,1064010912,100.00,-1,-1,1064011178,0.39,300095,76000798,1064011178,100.00,-1,-1,1064011456,0.43,382498,88667621,1064011456,100.00,-1,-1,1064028118,0.63,562980,88669009,1064028118,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997524626,0.00,0.00,0.00,587694,35.87,35.98,55,346280,5.30,5.31,
2026-04-01,21:22:28.093,1064045989,0.70,249433,35468199,1064045989,100.00,-1,-1,1064045942,0.98,327400,33251435,1064045942,100.00,-1,-1,1064045748,0.87,280340,32243810,1064045748,100.00,-1,-1,1064029197,1.08,459785,42561167,1064029197,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997542271,0.00,0.00,0.00,579991,35.40,35.47,55,345451,5.29,5.30,
2026-04-01,21:22:29.094,1064242298,0.61,321944,53212114,1064242298,100.00,-1,-1,1064242176,0.43,242468,56012746,1064242176,100.00,-1,-1,1064241968,0.35,161139,46271389,1064241968,100.00,-1,-1,1064241963,0.60,321555,53212098,1064241963,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997727080,0.00,0.00,0.00,578252,35.29,35.36,55,343952,5.26,5.27,
2026-04-01,21:22:30.095,1065154798,0.54,337689,62656164,1065154798,100.00,-1,-1,1065160441,0.52,306421,59175580,1065160441,100.00,-1,-1,1065166481,0.44,234649,53258324,1065166481,100.00,-1,-1,1065168572,0.32,159846,50722312,1065168572,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998609462,0.00,0.00,0.00,580930,35.46,35.53,55,346963,5.31,5.32,
2026-04-01,21:22:31.093,1063668377,0.66,391091,59092687,1063668377,100.00,-1,-1,1063662692,0.52,325499,62568393,1063662692,100.00,-1,-1,1063656913,0.70,498902,70910460,1063656913,100.00,-1,-1,1063654697,0.68,362691,53182734,1063654697,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997148755,0.00,0.00,0.00,583485,35.61,35.72,55,346560,5.30,5.32,
2026-04-01,21:22:32.093,1064062198,0.70,311788,44335924,1064062198,100.00,-1,-1,1064069091,0.53,196064,36692037,1064069091,100.00,-1,-1,1064075359,0.71,302248,42563014,1064075359,100.00,-1,-1,1064076081,0.65,316263,48367094,1064076081,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997616853,0.00,0.00,0.00,581008,35.46,35.53,55,345571,5.29,5.30,
2026-04-01,21:22:33.093,1064042684,0.22,104032,46262725,1064042684,100.00,-1,-1,1064035966,0.45,228582,50668379,1064035966,100.00,-1,-1,1064029521,0.68,300306,44334563,1064029521,100.00,-1,-1,1064029143,0.34,163245,48364961,1064029143,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997484233,0.00,0.00,0.00,578568,35.31,35.38,55,346898,5.31,5.32,
2026-04-01,21:22:34.094,1065134778,0.25,237845,96830434,1065134778,100.00,-1,-1,1065134668,0.28,273317,96830424,1065134668,100.00,-1,-1,1065134584,0.30,265645,88761215,1065134584,100.00,-1,-1,1065134685,0.32,226208,71008979,1065134685,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998561883,0.00,0.00,0.00,581288,35.48,35.55,55,344734,5.27,5.29,
2026-04-01,21:22:35.095,1063961632,0.86,316997,36688332,1063961632,100.00,-1,-1,1063962085,0.74,263197,35465402,1063962085,100.00,-1,-1,1063962139,0.75,256848,34321359,1063962139,100.00,-1,-1,1063961775,0.92,378522,40921606,1063961775,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997472723,0.00,0.00,0.00,578781,35.33,35.40,54,345109,5.28,5.29,
