,,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH0,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH1,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH2,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH3,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0CH4,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,
Date,Time,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,DRAMClocks,Rank0 CKE Off Residency(%),Rank0 CKE Off Average Cycles,Rank0 Cycles per transition,DRAMClocks,Rank1 CKE Off Residency(%),Rank1 CKE Off Average Cycles,Rank1 Cycles per transition,PCUClocks,Freq band 0 cycles(%),Freq band 1 cycles(%),Freq band 2 cycles(%),Consumed energy units,Consumed Joules,Watts,Thermal headroom below TjMax(°C),Consumed DRAM energy units,Consumed DRAM Joules,DRAM Watts,
2026-04-01,21:27:24.610,1064726644,0.21,207551,96793331,1064726644,100.00,-1,-1,1064728150,0.36,294962,81902165,1064728150,100.00,-1,-1,1064729931,0.39,277260,70981995,1064729931,100.00,-1,-1,1064731065,0.53,436273,81902389,1064731065,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998200456,0.00,0.00,0.00,592300,36.15,36.22,50,341661,5.23,5.24,
2026-04-01,21:27:25.609,1064617654,0.22,168261,76044118,1064617654,100.00,-1,-1,1064625110,0.37,302695,81894239,1064625110,100.00,-1,-1,1064632205,0.17,137690,81894785,1064632205,100.00,-1,-1,1064639427,0.34,304337,88719952,1064639427,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998176810,0.00,0.00,0.00,588496,35.92,35.99,50,341985,5.23,5.24,
2026-04-01,21:27:26.610,1064104614,0.31,185163,59116923,1064104614,100.00,-1,-1,1064104564,0.24,147839,62594386,1064104564,100.00,-1,-1,1064105144,0.32,156003,48368415,1064105144,100.00,-1,-1,1064110653,0.16,82843,53205532,1064110653,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997638178,0.00,0.00,0.00,586531,35.80,35.91,50,342807,5.24,5.26,
2026-04-01,21:27:27.609,1064237184,1.26,462443,36697833,1064237184,100.00,-1,-1,1064237151,1.02,434590,42569486,1064237151,100.00,-1,-1,1064236488,0.91,437984,48374385,1064236488,100.00,-1,-1,1064230974,0.72,320187,44342957,1064230974,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997681115,0.00,0.00,0.00,583136,35.59,35.66,50,338618,5.18,5.19,
2026-04-01,21:27:28.609,1063996601,1.02,516609,50666504,1063996601,100.00,-1,-1,1064009359,0.68,399623,59111631,1064009359,100.00,-1,-1,1064009374,0.53,281703,53200468,1064009374,100.00,-1,-1,1064012422,0.62,331207,53200621,1064012422,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997543765,0.00,0.00,0.00,586667,35.81,35.88,50,340571,5.21,5.22,
2026-04-01,21:27:29.609,1065168346,0.48,244691,50722302,1065168346,100.00,-1,-1,1065155929,0.39,205797,53257796,1065155929,100.00,-1,-1,1065155636,0.33,182675,56060822,1065155636,100.00,-1,-1,1065152422,0.38,191151,50721543,1065152422,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,998546535,0.00,0.00,0.00,588621,35.93,36.00,51,341211,5.22,5.23,
2026-04-01,21:27:30.609,1063994649,0.26,174971,66499665,1063994649,100.00,-1,-1,1063994397,0.22,176564,81845722,1063994397,100.00,-1,-1,1063994849,0.19,151588,81845757,1063994849,100.00,-1,-1,1063995364,0.31,298051,96726851,1063995364,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997500331,0.00,0.00,0.00,591001,36.07,36.14,51,341413,5.22,5.23,
2026-04-01,21:27:31.609,1064166751,0.48,254796,53208337,1064166751,100.00,-1,-1,1064166920,0.39,198481,50674615,1064166920,100.00,-1,-1,1064166860,0.49,308727,62598050,1064166860,100.00,-1,-1,1064166706,0.31,156325,50674605,1064166706,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997659089,0.00,0.00,0.00,586987,35.83,35.93,50,339563,5.20,5.21,
2026-04-01,21:27:32.609,1064040971,0.56,268653,48365498,1064040971,100.00,-1,-1,1064040663,0.66,306281,46262637,1064040663,100.00,-1,-1,1064040369,0.39,182326,46262624,1064040369,100.00,-1,-1,1064040358,0.85,362323,42561614,1064040358,100.00,-1,-1,0,-nan,-1,-1,0,-nan,-1,-1,997534391,0.00,0.00,0.00,588356,35.91,35.98,50,340374,5.21,5.22,
